x,d,r,d
0,-0.05884,0,1
0.0008,-0.05885,0.029411765,1.000169952
0.0016,-0.05886,0.058823529,1.000339905
0.0024,-0.05887,0.088235294,1.000509857
0.0032,-0.05886,0.117647059,1.000339905
0.004,-0.05884,0.147058824,1
0.0048,-0.05881,0.176470588,0.999490143
0.0056,-0.05876,0.205882353,0.998640381
0.0064,-0.05869,0.235294118,0.997450714
0.0072,-0.05858,0.264705882,0.995581237
0.008,-0.05843,0.294117647,0.993031951
0.0088,-0.05824,0.323529412,0.989802855
0.0096,-0.05799,0.352941176,0.985554045
0.0104,-0.05771,0.382352941,0.980795377
0.0112,-0.05736,0.411764706,0.974847043
0.012,-0.05691,0.441176471,0.967199184
0.0128,-0.05637,0.470588235,0.958021754
0.0136,-0.05578,0.5,0.947994562
0.0144,-0.05508,0.529411765,0.936097893
0.0152,-0.05404,0.558823529,0.918422842
0.016,-0.05228,0.588235294,0.888511217
0.0168,-0.04947,0.617647059,0.840754589
0.0176,-0.04584,0.647058824,0.779061863
0.0184,-0.04168,0.676470588,0.708361659
0.0192,-0.03646,0.705882353,0.619646499
0.02,-0.03037,0.735294118,0.516145479
0.0208,-0.02424,0.764705882,0.41196465
0.0216,-0.01834,0.794117647,0.311692726
0.0224,-0.01307,0.823529412,0.222127804
0.0232,-0.0088,0.852941176,0.149558124
0.024,-0.00538,0.882352941,0.091434398
0.0248,-0.0026,0.911764706,0.044187627
0.0256,-0.001,0.941176471,0.016995241
0.0264,-0.00036,0.970588235,0.006118287
0.0272,0.00009,1,0
0.028,0.00038,,
0.0288,0.00052,,
0.0296,0.00056,,
0.0304,0.00057,,
0.0312,0.00058,,
0.032,0.00059,,
0.0328,0.00062,,
0.0336,0.00065,,
0.0344,0.00066,,
0.0352,0.00067,,
0.036,0.00066,,
0.0368,0.00065,,
0.0376,0.00063,,
0.0384,0.00059,,
0.0392,0.00054,,
0.04,0.0005,,
0.0408,0.00048,,
0.0416,0.00046,,
0.0424,0.00047,,
0.0432,0.00047,,
0.044,0.00049,,
0.0448,0.00052,,
0.0456,0.00056,,
0.0464,0.00059,,
0.0472,0.00062,,
0.048,0.00065,,
0.0488,0.00067,,
0.0496,0.0007,,
0.0504,0.00072,,
0.0512,0.00075,,
0.052,0.00078,,
0.0528,0.0008,,
0.0536,0.00081,,
0.0544,0.00082,,
0.0552,0.00082,,
0.056,0.00083,,
0.0568,0.00083,,
0.0576,0.00083,,
0.0584,0.00083,,
0.0592,0.00083,,
0.06,0.00085,,
0.0608,0.00086,,
0.0616,0.00088,,
0.0624,0.00089,,
0.0632,0.0009,,
0.064,0.00091,,
0.0648,0.00093,,
0.0656,0.00094,,
0.0664,0.00094,,
0.0672,0.00093,,
0.068,0.00092,,
0.0688,0.00088,,
0.0696,0.00084,,
0.0704,0.00079,,
0.0712,0.00073,,
0.072,0.00067,,
0.0728,0.00061,,
0.0736,0.00054,,
0.0744,0.00049,,
0.0752,0.00045,,
0.076,0.00043,,
0.0768,0.00041,,
0.0776,0.00041,,
0.0784,0.00042,,
0.0792,0.00042,,
0.08,0.00043,,
0.0808,0.00045,,
0.0816,0.00046,,
0.0824,0.00047,,
0.0832,0.00048,,
0.084,0.00047,,
0.0848,0.00045,,
0.0856,0.00044,,
0.0864,0.00043,,
0.0872,0.00043,,
0.088,0.00042,,
0.0888,0.00043,,
0.0896,0.00043,,
0.0904,0.00045,,
0.0912,0.00047,,
0.092,0.00049,,
0.0928,0.00052,,
0.0936,0.00055,,
0.0944,0.00058,,
0.0952,0.00059,,
0.096,0.0006,,
0.0968,0.00061,,
0.0976,0.00062,,
0.0984,0.00063,,
0.0992,0.00064,,
0.1,0.00064,,
