\\NICKCOOKSEY\Users\nickc_000\OneDrive\Public\#729 NCMS 155\190207 - Flat Plate Groove Repeatability\190207-11 - 0.040Dm-60deg-Xpos-16pass_out.csv,,,
2/7/2019,3:58 PM,,
S/N:SN 0,,,
TYPE:M2_50_Cal,,,
STATUS:IN PROCESS GROOVE MACHINING,,,
Land Diameter:0.49975,,,
ID,X(in),Y(in),Z(in)
0,-0.320420239,0,0
0,-0.319620239,0,0
0,-0.318820239,0,0
0,-0.318020239,0,0
0,-0.317220239,0,0
0,-0.316420239,0,0
0,-0.315620239,0,0
0,-0.314820239,0,0
0,-0.314020239,0,0
0,-0.313220239,0,0
0,-0.312420239,0,0
0,-0.311620239,0,0
0,-0.310820239,0,0
0,-0.310020239,0,0
0,-0.309220239,0,0
0,-0.308420239,0,0
0,-0.307620239,0,0
0,-0.306820239,0,0
0,-0.306020239,0,0
0,-0.305220239,0,0
0,-0.304420239,0,0
0,-0.303620239,0,0
0,-0.302820239,0,0
0,-0.302020239,0,0
0,-0.301220239,0,0
0,-0.300420239,0,0
0,-0.299620239,0,0
0,-0.298820239,0,0
0,-0.298020239,0,0
0,-0.297220239,0,0
0,-0.296420239,0,0
0,-0.295620239,0,0
0,-0.294820239,0,0
0,-0.294020239,0,0
0,-0.293220239,0,0
0,-0.292420239,0,0
0,-0.291620239,0,0
0,-0.290820239,0,0
0,-0.290020239,0,0
0,-0.289220239,0,0
0,-0.288420239,0,0
0,-0.287620239,0,0
0,-0.286820239,0,0
0,-0.286020239,0,0
0,-0.285220239,0,0
0,-0.284420239,0,0
0,-0.283620239,0,0
0,-0.282820239,0,0
0,-0.282020239,0,0
0,-0.281220239,0,0
0,-0.280420239,0,0
0,-0.279620239,0,0
0,-0.278820239,0,0
0,-0.278020239,0,0
0,-0.277220239,0,0
0,-0.276420239,0,0
0,-0.275620239,0,0
0,-0.274820239,0,0
0,-0.274020239,0,0
0,-0.273220239,0,0
0,-0.272420239,0,0
0,-0.271620239,0,0
0,-0.270820239,0,0
0,-0.270020239,0,0
0,-0.269220239,0,0
0,-0.268420239,0,0
0,-0.267620239,0,0
0,-0.266820239,0,0
0,-0.266020239,0,0
0,-0.265220239,0,0
0,-0.264420239,0,0
0,-0.263620239,0,0
0,-0.262820239,0,0
0,-0.262020239,0,0
0,-0.261220239,0,0
0,-0.260420239,0,0
0,-0.259620239,0,0
0,-0.258820239,0,0
0,-0.258020239,0,0
0,-0.257220239,0,0
0,-0.256420239,0,0
0,-0.255620239,0,0
0,-0.254820239,0,0
0,-0.254020239,0,0
0,-0.253220239,0,0
0,-0.252420239,0,0
0,-0.251620239,0,0
0,-0.250820239,0,0
0,-0.250020239,0,0
0,-0.249220239,0,0
0,-0.248420239,0,0
0,-0.247620239,0,0
0,-0.246820239,0,0
0,-0.246020239,0,0
0,-0.245220239,0,0
