raster order,x,y,f,dir,depth,targ depth
1,-0.105,0,34.03,1,0,0.038
2,0.105,0,45.21,-1,0,0.038
3,0.099,0,132.1,1,0,0.038
4,-0.099,0,134.5,-1,0,0.038
5,-0.093,0,267.5,1,0,0.038
6,0.093,0,257.4,-1,0,0.038
7,0.087,0,284.9,1,0,0.038
8,-0.087,0,331.6,-1,0,0.038
9,-0.081,0,243.1,1,0,0.038
10,0.081,0,232.8,-1,0,0.038
11,0.075,0,168.9,1,0,0.038
12,-0.075,0,161.7,-1,0,0.038
13,-0.069,0,142.4,1,0,0.038
14,0.069,0,146,-1,0,0.038
15,0.063,0,145.7,1,0,0.038
16,-0.063,0,151.5,-1,0,0.038
17,-0.057,0,167.1,1,0,0.038
18,0.057,0,166.7,-1,0,0.038
19,0.051,0,179,1,0,0.038
20,-0.051,0,184.1,-1,0,0.038
21,-0.045,0,189.7,1,0,0.038
22,0.045,0,186.4,-1,0,0.038
23,0.039,0,178.4,1,0,0.038
24,-0.039,0,176.3,-1,0,0.038
25,-0.033,0,163.1,1,0,0.038
26,0.033,0,164.4,-1,0,0.038
27,0.027,0,154.8,1,0,0.038
28,-0.027,0,153.4,-1,0,0.038
29,-0.021,0,155.1,1,0,0.038
30,0.021,0,149.4,-1,0,0.038
31,0.015,0,168.5,1,0,0.038
32,-0.015,0,171.1,-1,0,0.038
33,-0.009,0,180.8,1,0,0.038
34,0.009,0,184.5,-1,0,0.038
35,0.003,0,184.4,1,0,0.038
36,-0.003,0,184.7,-1,0,0.038
