r,d
0,1
0.029411765,1.000169952
0.058823529,1.000339905
0.088235294,1.000509857
0.117647059,1.000339905
0.147058824,1
0.176470588,0.999490143
0.205882353,0.998640381
0.235294118,0.997450714
0.264705882,0.995581237
0.294117647,0.993031951
0.323529412,0.989802855
0.352941176,0.985554045
0.382352941,0.980795377
0.411764706,0.974847043
0.441176471,0.967199184
0.470588235,0.958021754
0.5,0.947994562
0.529411765,0.936097893
0.558823529,0.918422842
0.588235294,0.888511217
0.617647059,0.840754589
0.647058824,0.779061863
0.676470588,0.708361659
0.705882353,0.619646499
0.735294118,0.516145479
0.764705882,0.41196465
0.794117647,0.311692726
0.823529412,0.222127804
0.852941176,0.149558124
0.882352941,0.091434398
0.911764706,0.044187627
0.941176471,0.016995241
0.970588235,0.006118287
1,0
