Raster,x loc,y loc,Old F,dir,Depth,Goal
1,-0.1373,0,153.4285714,1,0,0.007
2,0.1373,0,274.72,-1,0,0.007
3,0.1311,0,69.9,1,0,0.009
4,-0.1311,0,81.86,-1,0,0.009
5,-0.125,0,157,1,0,0.01
6,0.125,0,124.5,-1,0,0.01
7,0.119,0,188,1,0,0.011
8,-0.119,0,231.5,-1,0,0.011
9,-0.1129,0,169.6,1,0,0.011
10,0.1129,0,190.9,-1,0,0.011
11,0.1068,0,141.3,1,0,0.011
12,-0.1068,0,120,-1,0,0.011
13,-0.1007,0,103.5,1,0,0.011
14,0.1007,0,120.3,-1,0,0.011
15,0.0945,0,127.2,1,0,0.011
16,-0.0945,0,123.8,-1,0,0.011
17,-0.0885,0,141.8,1,0,0.011
18,0.0885,0,136.2,-1,0,0.011
19,0.0824,0,146.6,1,0,0.011
20,-0.0824,0,158.4,-1,0,0.011
21,-0.0762,0,143.9,1,0,0.011
22,0.0762,0,137,-1,0,0.011
23,0.0702,0,132,1,0,0.011
24,-0.0702,0,142.7,-1,0,0.011
25,-0.064,0,134.4,1,0,0.011
26,0.064,0,129.1,-1,0,0.011
27,0.058,0,127.9,1,0,0.011
28,-0.058,0,125.4,-1,0,0.011
29,-0.0519,0,128.7,1,0,0.011
30,0.0519,0,132,-1,0,0.011
31,0.0457,0,140.9,1,0,0.011
32,-0.0457,0,132.8,-1,0,0.011
33,-0.0396,0,135.5,1,0,0.011
34,0.0396,0,140.8,-1,0,0.011
35,0.0336,0,138.3,1,0,0.011
36,-0.0336,0,135.5,-1,0,0.011
37,-0.0274,0,134.4,1,0,0.011
38,0.0274,0,140.9,-1,0,0.011
39,0.0214,0,134.3,1,0,0.011
40,-0.0214,0,133.8,-1,0,0.011
41,-0.0153,0,134.6,1,0,0.011
42,0.0153,0,142.9,-1,0,0.011
43,0.0092,0,157.1,1,0,0.011
44,-0.0092,0,158.9,-1,0,0.011
45,-0.0031,0,140.9,1,0,0.011
46,0.0031,0,135.5,-1,0,0.011
,,,, ,0,
,,,, ,0,
